p,Tu,phi,egr,Su,deltaL,completed
100000.0,300.0,0.2,0.0,,,False
100000.0,300.0,0.2,0.05,,,False
100000.0,300.0,0.2,0.1,,,False
100000.0,300.0,0.2,0.15,,,False
100000.0,300.0,0.2,0.2,,,False
100000.0,300.0,0.2,0.25,,,False
100000.0,300.0,0.2,0.3,,,False
100000.0,300.0,0.2,0.35,,,False
100000.0,300.0,0.2,0.4,,,False
100000.0,300.0,0.2,0.45,,,False
100000.0,300.0,0.2,0.5,,,False
100000.0,300.0,0.2,0.55,,,False
100000.0,300.0,0.2,0.6,,,False
100000.0,300.0,0.3,0.0,,,False
100000.0,300.0,0.3,0.05,,,False
100000.0,300.0,0.3,0.1,,,False
100000.0,300.0,0.3,0.15,,,False
100000.0,300.0,0.3,0.2,,,False
100000.0,300.0,0.3,0.25,,,False
100000.0,300.0,0.3,0.3,,,False
100000.0,300.0,0.3,0.35,,,False
100000.0,300.0,0.3,0.4,,,False
100000.0,300.0,0.3,0.45,,,False
100000.0,300.0,0.3,0.5,,,False
100000.0,300.0,0.3,0.55,,,False
100000.0,300.0,0.3,0.6,,,False
100000.0,300.0,0.4,0.0,0.4499192616977348,0.0003230614384795509,True
100000.0,300.0,0.4,0.05,0.35282777432731816,0.00036325944894261073,True
100000.0,300.0,0.4,0.1,,,False
100000.0,300.0,0.4,0.15,,,False
100000.0,300.0,0.4,0.2,,,False
100000.0,300.0,0.4,0.25,,,False
100000.0,300.0,0.4,0.3,,,False
100000.0,300.0,0.4,0.35,,,False
100000.0,300.0,0.4,0.4,,,False
100000.0,300.0,0.4,0.45,,,False
100000.0,300.0,0.4,0.5,,,False
100000.0,300.0,0.4,0.55,,,False
100000.0,300.0,0.4,0.6,,,False
100000.0,300.0,0.5,0.0,0.7542624868942661,0.00026833463816647285,True
100000.0,300.0,0.5,0.05,0.6408915536965829,0.0002942058323457662,True
100000.0,300.0,0.5,0.1,0.5342939066919604,0.00030498061188133867,True
100000.0,300.0,0.5,0.15,0.4277269877261968,0.0003430251068424231,True
100000.0,300.0,0.5,0.2,0.3237096089938419,0.00039603318174154906,True
100000.0,300.0,0.5,0.25,,,False
100000.0,300.0,0.5,0.3,,,False
100000.0,300.0,0.5,0.35,,,False
100000.0,300.0,0.5,0.4,,,False
100000.0,300.0,0.5,0.45,,,False
100000.0,300.0,0.5,0.5,,,False
100000.0,300.0,0.5,0.55,,,False
100000.0,300.0,0.5,0.6,,,False
100000.0,300.0,0.6,0.0,1.0140479929180222,0.00025633886355677616,True
100000.0,300.0,0.6,0.05,0.8932229845624081,0.00026596971575156795,True
100000.0,300.0,0.6,0.1,0.7720156075225231,0.0002826705874609326,True
100000.0,300.0,0.6,0.15,0.651664901229743,0.00030254211100898986,True
100000.0,300.0,0.6,0.2,0.5372427935994625,0.0003237971370197064,True
100000.0,300.0,0.6,0.25,0.42503111150528056,0.00035362055477962124,True
100000.0,300.0,0.6,0.3,,,False
100000.0,300.0,0.6,0.35,,,False
100000.0,300.0,0.6,0.4,,,False
100000.0,300.0,0.6,0.45,,,False
100000.0,300.0,0.6,0.5,,,False
100000.0,300.0,0.6,0.55,,,False
100000.0,300.0,0.6,0.6,,,False
100000.0,300.0,0.7,0.0,1.2329160002842556,0.00025331892205538483,True
100000.0,300.0,0.7,0.05,1.1041710480557008,0.000259401256335604,True
100000.0,300.0,0.7,0.1,0.9749625498223489,0.00026873969531278976,True
